date,price,standardized_price,Star
2025-04-03,0.495624193406546,0.6001710848637604,3
2025-04-04,0.4981607735343201,0.6034594414767102,3
2025-04-05,0.580491545555312,0.7101909165285427,3
2025-04-06,0.3715253492775572,0.4392925656785242,3
2025-04-07,0.4020101965274044,0.4788123300854024,3
2025-04-08,0.406749567532411,0.4849563275940529,3
2025-04-09,0.419679326478548,0.5017181313584336,3
2025-04-10,0.402575421211727,0.479545072689566,3
2025-04-11,0.4398574604224921,0.527876540259075,3
2025-04-12,0.5433945658827787,0.6620993553391518,3
2025-04-13,0.3094806976238264,0.358859490322552,3
2025-04-14,0.3166984797526357,0.3682164356578169,3
2025-04-15,0.343052210514389,0.4023807279178678,3
2025-04-16,0.3703896265772788,0.437820244259995,3
2025-04-17,0.3534233365432659,0.4158255864056304,3
2025-04-18,0.3927300501539303,0.4667817892945878,3
2025-04-19,0.5510918154388104,0.6720778697972435,3
2025-04-20,0.2733720040941117,0.3120491176269288,3
2025-04-21,0.2796364527475751,0.3201701861989584,3
2025-04-22,0.288425534517871,0.3315641235891687,3
2025-04-23,0.2898707141788618,0.3334376169762236,3
2025-04-24,0.3109443710401833,0.3607569585338557,3
2025-04-25,0.3003962915900037,0.3470827022254788,3
2025-04-26,0.4650451698197663,0.5605292326990602,3
2025-04-27,0.2382493531901767,0.2665170249878393,3
2025-04-28,0.2297708507660337,0.2555257145974959,3
2025-04-29,0.245196864888892,0.2755235987553571,3
2025-04-30,0.2346553687363692,0.2618578768631208,3
2025-05-01,0.2345767702634404,0.2617559838436994,3
2025-05-02,0.2882003357308121,0.3312721817291245,3
2025-05-03,0.4821657525036121,0.5827239115383139,3
2025-05-04,0.4510362035639803,0.5423683726010866,3
2025-05-05,0.3147927758909462,0.3657459306549214,3
2025-05-06,0.1875954839866861,0.200850664227944,3
2025-05-07,0.1681104408137131,0.1755907602060335,3
2025-05-08,0.1920953482247926,0.2066841713830043,3
2025-05-09,0.2342203707931527,0.261293956824667,3
2025-05-10,0.402135116378256,0.4789742729363846,3
2025-05-11,0.1859631086065445,0.1987344951712954,3
2025-05-12,0.1850609743056017,0.1975649916883215,3
2025-05-13,0.2040052261116061,0.222123827824252,3
2025-05-14,0.2220969760865914,0.245577502722464,3
2025-05-15,0.2500159971223078,0.2817709966494415,3
2025-05-16,0.2688178413551894,0.3061452193053227,3
2025-05-17,0.4465462704976318,0.5365477399592212,3
2025-05-18,0.1776961407930778,0.188017412757537,3
2025-05-19,0.1913780225905138,0.2057542490567622,3
2025-05-20,0.21987771091222,0.2427005049757231,3
2025-05-21,0.217187136359887,0.2392125139893857,3
2025-05-22,0.2552589771912587,0.2885678598719048,3
2025-05-23,0.2763753217227732,0.3159425406167495,3
2025-05-24,0.4552788082190696,0.5478683751127114,3
2025-05-25,0.1872095161076958,0.2003503054916411,3
2025-05-26,0.1756672063556703,0.185387154836079,3
2025-05-27,0.2283865626927538,0.2537311594836419,3
2025-05-28,0.2274055321991866,0.2524593770251638,3
2025-05-29,0.2504867337366141,0.2823812473731079,3
2025-05-30,0.2493224526285731,0.2808719035763011,3
2025-05-31,0.3943515641154582,0.4688838778901725,3
2025-06-01,0.1679475331235238,0.175379570906524,3
2025-06-02,0.1944268114186883,0.209706619728929,3
2025-06-03,0.2115021762411531,0.2318426793068127,3
2025-06-04,0.2210740904466708,0.2442514603390617,3
2025-06-05,0.2325257919288814,0.2590971487863648,3
2025-06-06,0.2705705223431345,0.3084173494280791,3
2025-06-07,0.3986026808429767,0.4743949152314702,3
2025-06-08,0.1810745272593719,0.1923970652494483,3
2025-06-09,0.19498676778456,0.2104325326218496,3
2025-06-10,0.2151775157610903,0.2366072940268006,3
2025-06-11,0.2192916845982739,0.2419407956790496,3
2025-06-12,0.2219813825590791,0.245427650274892,3
2025-06-13,0.2678656027409184,0.3049107618915559,3
2025-06-14,0.372531751580186,0.4405972394914668,3
2025-06-15,0.1780445200249069,0.1884690425476848,3
2025-06-16,0.1859232840182598,0.1986828676091261,3
2025-06-17,0.2162440817872516,0.2379899625287229,3
2025-06-18,0.2304726457522435,0.2564355033948493,3
2025-06-19,0.2469266550980074,0.2777660538668193,3
2025-06-20,0.2877659560182507,0.3307090631488391,3
2025-06-21,0.4114312571647024,0.4910255484688666,3
2025-06-22,0.2027572521259791,0.2205059867541073,3
2025-06-23,0.2164281544783179,0.2382285895858002,3
2025-06-24,0.2348383673351541,0.2620951114948542,3
2025-06-25,0.2474174904466642,0.278402360067815,3
2025-06-26,0.2630995397336054,0.2987321615641984,3
2025-06-27,0.2972434840846503,0.3429954844411604,3
2025-06-28,0.4187038097964268,0.5004534968619428,3
2025-06-29,0.1979671615550134,0.2142962377171288,3
2025-06-30,0.2133160282918924,0.2341941100070112,3
2025-07-01,0.2389385217125754,0.267410445165366,3
2025-07-02,0.246965601060692,0.2778165424015749,3
2025-07-03,0.2555065442475138,0.2888887993753217,3
2025-07-04,0.2953258202095907,0.3405094747874851,3
2025-07-05,0.4083570895245809,0.4870402773638765,3
2025-07-06,0.2129316665541172,0.2336958334304745,3
