,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Free parking,Indoor pool,Kid-friendly,Kitchen in some rooms,Onsen,Open air bath,Outdoor pool,Parking,Parking ($),Pet-friendly,Pool,Private bath,Public bath,Restaurant,Sauna,Transfer
22,The Royal Park Hotel Tokyo Shiodome,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJdXYzTHRwSGtoTU9xQVJvS0wyMHZNR2Q0ZW5Zd1pCQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CJABEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False
23,Hotel Niwa Tokyo,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJNk5PbXRQYjM5N2M5R2dzdlp5OHhkak5zY0hsdFh4QUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CK0BEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
24,AC Hotel Tokyo Ginza,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JbHFlczBmUGh1TmplQVJvTkwyY3ZNVEZuYUdaMFpGOTRPUkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CMgBEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
25,Park Hotel Tokyo,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJMTZIT2xzQzN1Y2tDR2dzdlp5OHhNakpxY2pWNVloQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0COEBEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
26,Hotel The Celestine Ginza,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJcHJqWWtQdUo1c2RxR2cwdlp5OHhNV1I0T1RRMGVUTjZFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CPgBEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
27,GRAND NIKKO TOKYO DAIBA,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJMTdtNnFObS1sLTNSQVJvTEwyY3ZNVEl5T1dKNk5tTVFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CJECEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False
28,Mitsui Garden Hotel Ginza Premier,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJaDRpM3FPZV9zSl9sQVJvTEwyY3ZNVEl4TXpWZk9HZ1FBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CLECEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
29,Tokyo Prince Hotel,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJZ002YmpNS1U5TUhJQVJvTEwyY3ZNVEl5Tm5Oc2VXSVFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CMoCEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True
30,Hotel Gajoen Tokyo,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJM05QdTBhV2J2THN2R2dzdlp5OHhNakp1ZW1Sck5oQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0COECEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
31,HOTEL GRACERY ASAKUSA,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JbFlieHJ1Nkg1Nm5iQVJvTkwyY3ZNVEZtTkhkME1tWm1jeEFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CPwCEMr3BGoXChMIiLuT_8ixigMVAAAAAB0AAAAAEBc,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
