,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Kid-friendly,Kitchen in rooms,Kitchen in some rooms,Onsen,Open air bath,Outdoor pool,Parking,Parking ($),Public bath,Restaurant,Sauna,Transfer
21,Shiba Park Hotel,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJaU5YbHZxM3IwWm5lQVJvTUwyY3ZNWG8wTkdJd01HMWpFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CH4QyvcEahcKEwjw1qGGybGKAxUAAAAAHQAAAAAQFw,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True
22,Tosei Hotel Cocone Ueno,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9Ja2MteGs5S2U4c1hyQVJvTkwyY3ZNVEZtWmpSZmNYZG5lQkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CJUBEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
23,ASAKUSA KOKONO CLUB HOTEL,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJbU5iaGtwblB5LUVGR2cwdlp5OHhNV056Y1daeWRERjJFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CLMBEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False
24,Lotte City Hotel Kinshicho,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJNWNPSndkWDltdU5lR2d3dlp5OHhjVFpxTnpGZk4za1FBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CMwBEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False
25,Henn na Hotel Tokyo Asakusa Tawaramachi,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JeWNYOXY2alc5cUNTQVJvTkwyY3ZNVEZvTUdkNmJHaG9kQkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0COMBEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False
26,Agora Place Tokyo Asakusa,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJOTZfNWxvR0RtTHl1QVJvTUwyY3ZNVEpzY21ab2QzSjVFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CPwBEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
27,hotel MONday AKIHABARA-ASAKUSABASHI,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJcUlQel9kN0tpdWNtR2cwdlp5OHhNV2cxTkRFM2RuQTJFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CJYCEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
28,Richmond Hotel Premier Tokyo Schole,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJLTdUUGtKZXl6OWQ1R2cwdlp5OHhNV05zYzJScmRqRmZFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CLECEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
29,remm Tokyo Kyobashi,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJek92bjBOM0NxY3Q5R2cwdlp5OHhNV1k1ZUcxZmMyc3hFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CMoCEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
30,Dormy Inn Premium Tokyo Kodenmacho,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JLXVqcnVhakppYkdLQVJvTkwyY3ZNVEZqTVRNMU1uQXhjaEFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0COgCEMr3BGoXChMI8NahhsmxigMVAAAAAB0AAAAAEBc,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False
